number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_emb_dim,params_grad_clip,params_kernel_sizes,params_lr,params_max_len,params_optimizer,params_weight_decay,state
0,0.9144583333333334,2025-10-06 05:33:22.913410,2025-10-06 05:49:37.335755,0 days 00:16:14.422345,64,256,0.6,200,2.0,"(2, 3, 4, 5)",0.0003768726742752859,160,adamw,0.0008988041214758503,COMPLETE
1,0.9005416666666667,2025-10-06 05:49:37.915194,2025-10-06 05:59:11.002536,0 days 00:09:33.087342,128,256,0.4,300,0.5,"(3, 4, 5, 6)",0.0025448690937199384,200,adamw,0.00017762762197963476,COMPLETE
2,0.9059166666666667,2025-10-06 05:59:11.566193,2025-10-06 06:10:31.765014,0 days 00:11:20.198821,128,128,0.1,200,0.5,"(3, 4, 5)",0.004060333825822455,160,adamw,0.00021360863718783297,COMPLETE
3,0.923125,2025-10-06 06:10:32.320063,2025-10-06 06:36:39.975954,0 days 00:26:07.655891,256,256,0.5,200,1.5,"(2, 3, 4, 5)",0.001982169925018568,200,adam,1.9378094205564048e-05,COMPLETE
4,0.91725,2025-10-06 06:36:40.597713,2025-10-06 06:48:39.073485,0 days 00:11:58.475772,128,128,0.4,100,1.0,"(3, 4, 5)",0.001825946326867454,200,adam,7.705868534020752e-06,COMPLETE
5,0.893,2025-10-06 06:48:39.694401,2025-10-06 06:58:27.185931,0 days 00:09:47.491530,64,192,0.30000000000000004,300,1.0,"(2, 3, 4, 5)",0.001020177047499181,160,adamw,3.580384157510319e-05,PRUNED
6,0.9045833333333333,2025-10-06 06:58:27.777021,2025-10-06 07:06:11.305511,0 days 00:07:43.528490,128,128,0.2,300,1.0,"(3, 4, 5, 6)",0.003446174676174919,160,adamw,5.730901320938438e-05,COMPLETE
7,0.8012083333333333,2025-10-06 07:06:11.896883,2025-10-06 07:09:42.109791,0 days 00:03:30.212908,64,128,0.30000000000000004,100,0.5,"(3, 4, 5)",0.0002982684867243735,256,adam,0.00022157227873491865,PRUNED
8,0.8588333331743876,2025-10-06 07:09:42.735987,2025-10-06 07:13:34.990516,0 days 00:03:52.254529,256,256,0.2,300,1.5,"(3, 4, 5)",0.0002593805799432071,160,adamw,7.2875858743015316e-06,PRUNED
9,0.8573333333333333,2025-10-06 07:13:35.578758,2025-10-06 07:16:52.514344,0 days 00:03:16.935586,256,128,0.30000000000000004,100,1.5,"(3, 4, 5)",0.004022151977489892,256,adam,0.00045410424564950073,PRUNED
10,0.8674166668256124,2025-10-06 07:16:53.109590,2025-10-06 07:20:35.657909,0 days 00:03:42.548319,256,192,0.6,200,2.0,"(2, 3, 4, 5)",0.0008260187091552182,200,adam,1.4655866280298642e-06,PRUNED
11,0.8867083333333333,2025-10-06 07:20:36.247147,2025-10-06 07:24:12.357814,0 days 00:03:36.110667,128,256,0.5,100,1.5,"(2, 3, 4, 5)",0.001752216257233483,200,adam,6.870346532352737e-06,PRUNED
12,0.8798750001589457,2025-10-06 07:24:12.983045,2025-10-06 07:27:59.595176,0 days 00:03:46.612131,256,256,0.5,200,1.0,"(3, 4, 5)",0.0014815125959838612,200,adam,8.128768080101241e-06,PRUNED
13,0.68675,2025-10-06 07:28:00.172092,2025-10-06 07:31:15.596607,0 days 00:03:15.424515,256,128,0.5,100,1.5,"(2, 3, 4, 5)",0.00010994523116953129,200,adam,1.5046795017371531e-06,PRUNED
14,0.88275,2025-10-06 07:31:16.161953,2025-10-06 07:34:51.530842,0 days 00:03:35.368889,128,192,0.4,100,1.0,"(3, 4, 5, 6)",0.001773467805282933,200,adam,1.5814802833977905e-05,PRUNED
15,0.8754583333333333,2025-10-06 07:34:52.147598,2025-10-06 07:38:28.224302,0 days 00:03:36.076704,128,128,0.4,200,2.0,"(3, 4, 5)",0.0006280241392455559,200,adam,3.06848428835753e-06,PRUNED
16,0.881666666507721,2025-10-06 07:38:28.913388,2025-10-06 07:42:02.294254,0 days 00:03:33.380866,256,256,0.5,100,1.5,"(2, 3, 4, 5)",0.0025347820283629914,200,adam,2.0456268466351447e-05,PRUNED
17,0.855166666507721,2025-10-06 07:42:02.912738,2025-10-06 07:46:00.342631,0 days 00:03:57.429893,256,256,0.6,200,1.0,"(3, 4, 5)",0.0011085106261212775,256,adam,9.955958822105697e-05,PRUNED
18,0.8680833333333333,2025-10-06 07:46:00.997986,2025-10-06 07:49:39.834571,0 days 00:03:38.836585,128,128,0.4,200,1.5,"(2, 3, 4, 5)",0.0005342036789073535,200,adam,1.509187897203756e-05,PRUNED
19,0.9150833333333334,2025-10-06 07:49:40.422511,2025-10-06 07:59:22.950617,0 days 00:09:42.528106,64,192,0.5,100,1.0,"(3, 4, 5, 6)",0.0024764628875038144,200,adam,4.6935455931059695e-06,PRUNED
